Modelo,Public_MacroF1,Public_Accuracy,Private_MacroF1,Private_Accuracy,Completo_MacroF1,Completo_WeightedF1,Completo_Accuracy,F1_Clase0,F1_Clase1,F1_Clase2,F1_Clase3
David,0.37993117899620593,0.7085201793721974,0.5031466585723681,0.7213483146067415,0.43295078577336643,0.7240519337293531,0.7149270482603816,0.8333333333333334,0.4946236559139785,0.15384615384615385,0.25
Carlos,0.3573711775172895,0.7354260089686099,0.37119392119392114,0.7146067415730337,0.3649284899618779,0.720591572677531,0.7250280583613917,0.8599545798637396,0.3861671469740634,0.21359223300970873,0.0
Javi,0.5060871166037011,0.7399103139013453,0.4569095638556825,0.701123595505618,0.486066115391418,0.7335570242285585,0.7205387205387206,0.8382944489139179,0.48711943793911006,0.2988505747126437,0.32
